ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT;BOOTH_ID;SUBINDUSTRY;SUBMARKET;SUBMARKET_1;MARKET_NAME;INDUSTRY_NAME
32420386;01AA812             ;0;4;4;20140812;4;754152;1;1001;1001;一区市场;花类
32420387;0561957             ;0;9;9;20140812;9;811517;63;1007;1007;五区市场;床上用品
32420388;02165031            ;0;4;4;20140812;4;761214;18;1003;1003;二区市场;五金厨卫
32420389;Y5-0597A            ;0;1;1;20140812;1;805678;148;1008;1008;篁园服装市场;童装
32420390;01A7144             ;1;4;5;20140812;4;757563;9;1001;1001;一区市场;装饰工艺
32420391;0448575             ;1;2;3;20140812;3;792089;86;1006;1006;四区市场;文胸内衣
32420392;0569187A            ;2;31;33;20140812;26;799433;145;1007;1007;五区市场;汽摩配件
32420393;shop_120369         ;1;3;4;20140812;4;100008008;185;1007;1007;五区市场;虚拟商铺
32420394;01A2850A            ;1;2;3;20140812;3;757273;115;1001;1001;一区市场;玩具
32420395;01A3755             ;0;4;4;20140812;2;756201;6;1001;1001;一区市场;头饰
32420396;0430846             ;1;18;19;20140812;3;781386;130;1006;1006;四区市场;袜类
32420397;0326767             ;0;2;2;20140812;2;769457;109;1004;1004;三区市场;化妆品配件
32420398;Y1-0349A            ;0;1;1;20140812;1;804168;143;1008;1008;篁园服装市场;牛仔
32420399;03A1173             ;1;7;8;20140812;5;756830;120;1004;1004;三区市场;皮革
32420400;0327664A            ;13;12;25;20140812;13;779980;65;1004;1004;三区市场;服装辅料
32420401;0327075             ;3;2;5;20140812;3;772709;101;1004;1004;三区市场;镜梳
32420402;0327742B            ;3;26;29;20140812;23;771504;104;1004;1004;三区市场;纽扣/拉链
32420403;0430985             ;2;1;3;20140812;3;777676;130;1006;1006;四区市场;袜类
32420404;01A8145             ;1;4;5;20140812;4;753296;13;1001;1001;一区市场;旅游工艺
32420405;0437670             ;0;5;5;20140812;3;785399;78;1006;1006;四区市场;日用百货
32420406;shop_112549         ;0;10;10;20140812;1;751641;6;1001;1001;一区市场;头饰
32420407;0213450             ;1;19;20;20140812;16;773250;23;1003;1003;二区市场;锁具
32420408;04411501            ;0;2;2;20140812;2;791282;74;1006;1006;四区市场;线带
32420409;0321820A            ;0;1;1;20140812;1;772202;107;1004;1004;三区市场;笔墨纸制品
32420410;0434592             ;1;53;54;20140812;43;813167;78;1006;1006;四区市场;日用百货
32420411;01A7430             ;0;12;12;20140812;4;750132;9;1001;1001;一区市场;装饰工艺
32420412;Y4-0539A            ;0;3;3;20140812;2;805668;149;1008;1008;篁园服装市场;羊毛衫
32420413;01A3541A            ;0;1;1;20140812;1;753466;6;1001;1001;一区市场;头饰
32420414;0431148             ;1;7;8;20140812;7;778135;130;1006;1006;四区市场;袜类
32420415;0448793             ;1;18;19;20140812;16;768917;514;1006;1006;四区市场;服饰
32420416;01A2629             ;0;1;1;20140812;1;753629;115;1001;1001;一区市场;玩具
32420417;0211418             ;0;2;2;20140812;2;767079;15;1003;1003;二区市场;箱包
32420418;0322950             ;0;24;24;20140812;18;768696;107;1004;1004;三区市场;笔墨纸制品
32420419;0431683             ;1;1;2;20140812;2;779311;130;1006;1006;四区市场;袜类
32420420;shop_111816         ;1;2;3;20140812;3;786504;78;1006;1006;四区市场;日用百货
32420421;0435185             ;0;1;1;20140812;1;779442;78;1006;1006;四区市场;日用百货
32420422;0212287             ;0;2;2;20140812;2;762645;15;1003;1003;二区市场;箱包
32420423;04AA354             ;7;11;18;20140812;14;100000317;2000;1006;1006;四区市场;旅游购物中心
32420424;01A7628B            ;0;1;1;20140812;1;754272;9;1001;1001;一区市场;装饰工艺
32420425;01A7730A            ;0;13;13;20140812;9;751865;9;1001;1001;一区市场;装饰工艺
32420426;0216613             ;0;2;2;20140812;2;755752;18;1003;1003;二区市场;五金厨卫
32420427;NM3034-2            ;1;3;4;20140812;3;20130008;10657;2002;2002;义乌副食品市场;内蒙/东三省馆
32420428;shop_111749         ;0;2;2;20140812;2;773589;16;1003;1003;二区市场;电工产品
32420429;shop_102030         ;2;1;3;20140812;2;804909;142;1008;1008;篁园服装市场;男装
32420430;Y1-0251             ;0;5;5;20140812;4;804690;141;1008;1008;篁园服装市场;裤
32420431;Y2-0547             ;0;6;6;20140812;5;810811;150;1008;1008;篁园服装市场;运动服
32420432;01A5030A            ;1;4;5;20140812;5;754948;7;1001;1001;一区市场;珠宝首饰
32420433;0212696             ;2;14;16;20140812;15;765947;15;1003;1003;二区市场;箱包
32420434;0435796B            ;0;1;1;20140812;1;787719;78;1006;1006;四区市场;日用百货
32420435;0215757             ;6;20;26;20140812;14;772393;25;1003;1003;二区市场;自行车/童车
32420436;0434798B1           ;1;2;3;20140812;3;785656;78;1006;1006;四区市场;日用百货
32420437;0323897B            ;1;12;13;20140812;8;780303;68;1004;1004;三区市场;办公学习用品
32420438;0213448             ;2;12;14;20140812;13;773601;23;1003;1003;二区市场;锁具
32420439;Y5-0539B            ;0;2;2;20140812;2;805595;148;1008;1008;篁园服装市场;童装
32420440;Y3-0670A            ;0;3;3;20140812;2;808569;144;1008;1008;篁园服装市场;女装
32420441;shop_117482         ;0;2;2;20140812;2;792934;78;1006;1006;四区市场;日用百货
32420442;01A5785             ;1;3;4;20140812;4;754292;7;1001;1001;一区市场;珠宝首饰
32420443;01A9471             ;0;3;3;20140812;3;782448;505;1001;1001;一区市场;生产企业直销中心(玩具·花类·饰品及配件·工艺品)
32420444;0448868             ;0;2;2;20140812;1;795637;86;1006;1006;四区市场;文胸内衣
32420445;0440541B            ;0;2;2;20140812;2;789698;74;1006;1006;四区市场;线带
32420446;0434631             ;0;2;2;20140812;2;785691;78;1006;1006;四区市场;日用百货
32420447;0430884B            ;0;1;1;20140812;1;779222;130;1006;1006;四区市场;袜类
32420448;01A3707             ;0;3;3;20140812;2;760047;6;1001;1001;一区市场;头饰
32420449;01AA262B            ;1;3;4;20140812;3;756568;1;1001;1001;一区市场;花类
32420450;01A2803A            ;2;8;10;20140812;7;757038;115;1001;1001;一区市场;玩具
32420451;0218071A            ;0;3;3;20140812;3;761064;20;1003;1003;二区市场;电讯器材
32420452;01A5362A            ;1;5;6;20140812;6;757378;7;1001;1001;一区市场;珠宝首饰
32420453;02170141            ;0;1;1;20140812;1;763613;18;1003;1003;二区市场;五金厨卫
32420454;Y3-0849A            ;0;5;5;20140812;3;805741;144;1008;1008;篁园服装市场;女装
32420455;0322000             ;3;3;6;20140812;5;776584;107;1004;1004;三区市场;笔墨纸制品
32420456;0218052A            ;0;2;2;20140812;2;761057;20;1003;1003;二区市场;电讯器材
32420457;0219500             ;2;37;39;20140812;23;763915;32;1003;1003;二区市场;电子
32420458;shop_97749          ;0;1;1;20140812;1;753516;6;1001;1001;一区市场;头饰
32420459;0215511             ;0;4;4;20140812;3;766421;17;1003;1003;二区市场;五金工具/配件
32420460;Y2-0659A            ;0;3;3;20140812;2;807330;142;1008;1008;篁园服装市场;男装
32420461;0215263             ;2;1;3;20140812;1;768613;17;1003;1003;二区市场;五金工具/配件
32420462;0443861A            ;1;2;3;20140812;3;787764;80;1006;1006;四区市场;鞋类
32420463;01A26992            ;11;23;34;20140812;17;754998;115;1001;1001;一区市场;玩具
32420464;01A1869A            ;0;1;1;20140812;1;757656;115;1001;1001;一区市场;玩具
32420465;04AA330             ;4;33;37;20140812;20;100000296;2000;1006;1006;四区市场;旅游购物中心
32420466;01A3736             ;0;1;1;20140812;1;749154;6;1001;1001;一区市场;头饰
32420467;01A2214A            ;6;24;30;20140812;17;757744;115;1001;1001;一区市场;玩具
32420468;0447589B            ;2;8;10;20140812;6;791228;86;1006;1006;四区市场;文胸内衣
32420469;0569066             ;1;8;9;20140812;7;799372;146;1007;1007;五区市场;汽车用品
32420470;0323569             ;0;4;4;20140812;4;775049;68;1004;1004;三区市场;办公学习用品
32420471;01A6608A            ;3;17;20;20140812;12;750139;9;1001;1001;一区市场;装饰工艺
32420472;0219693             ;0;18;18;20140812;6;761343;517;1003;1003;二区市场;钟表
32420473;0321971             ;3;18;21;20140812;16;772212;107;1004;1004;三区市场;笔墨纸制品
32420474;0218370             ;0;3;3;20140812;3;764023;22;1003;1003;二区市场;钟表
32420475;01A5766A            ;1;13;14;20140812;11;754919;7;1001;1001;一区市场;珠宝首饰
32420476;0217325             ;0;1;1;20140812;1;760741;19;1003;1003;二区市场;小家电
32420477;0327560             ;0;1;1;20140812;1;772253;104;1004;1004;三区市场;纽扣/拉链
32420478;01A7057             ;1;1;2;20140812;2;757410;9;1001;1001;一区市场;装饰工艺
32420479;0211856A            ;0;1;1;20140812;1;763998;15;1003;1003;二区市场;箱包
32420480;01A3092             ;0;1;1;20140812;1;760156;6;1001;1001;一区市场;头饰
32420481;Y5-0666             ;0;4;4;20140812;4;808345;148;1008;1008;篁园服装市场;童装
32420482;shop_102501         ;1;28;29;20140812;24;764499;16;1003;1003;二区市场;电工产品
32420483;0324677             ;0;6;6;20140812;5;769129;68;1004;1004;三区市场;办公学习用品
32420484;shop_98146          ;2;11;13;20140812;11;804523;150;1008;1008;篁园服装市场;运动服
32420485;0568910B            ;1;2;3;20140812;3;798923;146;1007;1007;五区市场;汽车用品
32420486;0441843             ;0;2;2;20140812;2;793971;46;1006;1006;四区市场;花边
32420487;0442065A            ;0;14;14;20140812;11;784263;44;1006;1006;四区市场;毛线
32420488;01A2326             ;0;13;13;20140812;5;751637;115;1001;1001;一区市场;玩具
32420489;shop_99124          ;1;2;3;20140812;3;780694;68;1004;1004;三区市场;办公学习用品
32420490;0569011             ;0;1;1;20140812;1;813768;146;1007;1007;五区市场;汽车用品
32420491;0449320A            ;1;1;2;20140812;2;791405;86;1006;1006;四区市场;文胸内衣
32420492;01A7480B            ;2;1;3;20140812;3;749868;9;1001;1001;一区市场;装饰工艺
32420493;01A2577             ;0;2;2;20140812;2;755309;115;1001;1001;一区市场;玩具
32420494;0219465             ;5;43;48;20140812;34;762466;32;1003;1003;二区市场;电子
32420495;01A4284             ;0;1;1;20140812;1;749489;6;1001;1001;一区市场;头饰
32420496;Y3-0608A            ;0;1;1;20140812;1;809552;144;1008;1008;篁园服装市场;女装
32420497;0327583             ;1;1;2;20140812;2;772260;65;1004;1004;三区市场;服装辅料
32420498;04387031            ;0;1;1;20140812;1;781114;133;1006;1006;四区市场;帽子
32420499;0212285A            ;0;1;1;20140812;1;764408;15;1003;1003;二区市场;箱包
32420500;0219239             ;2;5;7;20140812;6;762032;31;1003;1003;二区市场;五金电器
32420501;01A2155             ;1;1;2;20140812;2;751146;115;1001;1001;一区市场;玩具
32420502;04409061            ;2;17;19;20140812;15;791743;74;1006;1006;四区市场;线带
